graph_name,num_of_vertices,num_of_edges,big_delta
fence,11,10,3
bipartite,7,10,5
fish,7,11,5
diamond,9,13,3
double_twin_kite,18,27,3
cavemen,12,18,4
path,8,7,2
erdos_renyi,10,20,7
twin_kite,10,14,3
