graph_name,alg_name,time,number_of_colors
fence,ConnectedSequential,49411,2
fence,ConnectedSequential,49250,2
fence,ConnectedSequential,48855,2
fence,ConnectedSequential,48830,2
fence,ConnectedSequential,48992,2
fence,ConnectedSequential,48846,2
fence,ConnectedSequential,49112,2
fence,ConnectedSequential,49192,2
fence,ConnectedSequential,49367,2
fence,ConnectedSequential,49016,2
fence,ConnectedSequential,49121,2
fence,ConnectedSequential,49478,2
fence,ConnectedSequential,48795,2
fence,ConnectedSequential,49642,2
fence,ConnectedSequential,60224,2
fence,ConnectedSequential,49578,2
fence,ConnectedSequential,49168,2
fence,ConnectedSequential,49365,2
fence,ConnectedSequential,49737,2
fence,ConnectedSequential,49779,2
fence,ConnectedSequential,49193,2
fence,ConnectedSequential,49808,2
fence,ConnectedSequential,51276,2
fence,ConnectedSequential,49602,2
fence,ConnectedSequential,49643,2
fence,ConnectedSequential,48906,2
fence,ConnectedSequential,49386,2
fence,ConnectedSequential,49094,2
fence,ConnectedSequential,49245,2
fence,ConnectedSequential,49699,2
fence,ConnectedSequential,49810,2
fence,ConnectedSequential,51148,2
fence,ConnectedSequential,57525,2
fence,ConnectedSequential,57687,2
fence,ConnectedSequential,50413,2
fence,ConnectedSequential,50017,2
fence,ConnectedSequential,50020,2
fence,ConnectedSequential,50909,2
fence,ConnectedSequential,50440,2
fence,ConnectedSequential,50265,2
fence,ConnectedSequential,50737,2
fence,ConnectedSequential,50536,2
fence,ConnectedSequential,51066,2
fence,ConnectedSequential,50976,2
fence,ConnectedSequential,50919,2
fence,ConnectedSequential,50256,2
fence,ConnectedSequential,50031,2
fence,ConnectedSequential,50418,2
fence,ConnectedSequential,49926,2
fence,ConnectedSequential,53284,2
fence,ConnectedSequential,52533,2
fence,ConnectedSequential,50196,2
fence,ConnectedSequential,50483,2
fence,ConnectedSequential,50053,2
fence,ConnectedSequential,50602,2
fence,ConnectedSequential,50903,2
fence,ConnectedSequential,50559,2
fence,ConnectedSequential,50462,2
fence,ConnectedSequential,51557,2
fence,ConnectedSequential,50439,2
fence,ConnectedSequential,50045,2
fence,ConnectedSequential,50750,2
fence,ConnectedSequential,50311,2
fence,ConnectedSequential,50732,2
fence,ConnectedSequential,51403,2
fence,ConnectedSequential,50051,2
fence,ConnectedSequential,50220,2
fence,ConnectedSequential,50416,2
fence,ConnectedSequential,50333,2
fence,ConnectedSequential,51211,2
fence,ConnectedSequential,49882,2
fence,ConnectedSequential,50706,2
fence,ConnectedSequential,51053,2
fence,ConnectedSequential,50018,2
fence,ConnectedSequential,50636,2
fence,ConnectedSequential,50530,2
fence,ConnectedSequential,50654,2
fence,ConnectedSequential,50554,2
fence,ConnectedSequential,50839,2
fence,ConnectedSequential,50840,2
fence,ConnectedSequential,51143,2
fence,ConnectedSequential,51041,2
fence,ConnectedSequential,56376,2
fence,ConnectedSequential,57173,2
fence,ConnectedSequential,52738,2
fence,ConnectedSequential,51326,2
fence,ConnectedSequential,50601,2
fence,ConnectedSequential,51112,2
fence,ConnectedSequential,52107,2
fence,ConnectedSequential,51117,2
fence,ConnectedSequential,50657,2
fence,ConnectedSequential,50475,2
fence,ConnectedSequential,50328,2
fence,ConnectedSequential,50991,2
fence,ConnectedSequential,50962,2
fence,ConnectedSequential,51297,2
fence,ConnectedSequential,51524,2
fence,ConnectedSequential,50609,2
fence,ConnectedSequential,50880,2
fence,ConnectedSequential,50651,2
fence,ConnectedSequential,50979,2
fence,ConnectedSequential,50766,2
fence,ConnectedSequential,50703,2
fence,ConnectedSequential,50794,2
fence,ConnectedSequential,50377,2
fence,ConnectedSequential,50294,2
fence,ConnectedSequential,50104,2
fence,ConnectedSequential,50883,2
fence,ConnectedSequential,50559,2
fence,ConnectedSequential,50409,2
fence,ConnectedSequential,50937,2
fence,ConnectedSequential,50889,2
fence,ConnectedSequential,50518,2
fence,ConnectedSequential,50097,2
fence,ConnectedSequential,50237,2
fence,ConnectedSequential,50538,2
fence,ConnectedSequential,50191,2
fence,ConnectedSequential,50130,2
fence,ConnectedSequential,50475,2
fence,ConnectedSequential,50192,2
fence,ConnectedSequential,50301,2
fence,ConnectedSequential,50749,2
fence,ConnectedSequential,51587,2
fence,ConnectedSequential,50286,2
fence,ConnectedSequential,50643,2
fence,ConnectedSequential,50432,2
fence,ConnectedSequential,50465,2
fence,ConnectedSequential,50594,2
fence,ConnectedSequential,51345,2
fence,ConnectedSequential,50773,2
fence,ConnectedSequential,50817,2
fence,ConnectedSequential,50883,2
fence,ConnectedSequential,58431,2
fence,ConnectedSequential,56407,2
fence,ConnectedSequential,57109,2
fence,ConnectedSequential,56155,2
fence,ConnectedSequential,50445,2
fence,ConnectedSequential,50631,2
fence,ConnectedSequential,50642,2
fence,ConnectedSequential,51558,2
fence,ConnectedSequential,50261,2
fence,ConnectedSequential,50676,2
fence,ConnectedSequential,50396,2
fence,ConnectedSequential,55385,2
fence,ConnectedSequential,50406,2
fence,ConnectedSequential,50661,2
fence,ConnectedSequential,50590,2
fence,ConnectedSequential,50349,2
fence,ConnectedSequential,50780,2
fence,ConnectedSequential,50952,2
fence,ConnectedSequential,52215,2
fence,ConnectedSequential,50895,2
fence,ConnectedSequential,50878,2
fence,ConnectedSequential,51517,2
fence,ConnectedSequential,51472,2
fence,ConnectedSequential,51082,2
fence,ConnectedSequential,50898,2
fence,ConnectedSequential,50473,2
fence,ConnectedSequential,50460,2
fence,ConnectedSequential,51367,2
fence,ConnectedSequential,50577,2
fence,ConnectedSequential,50526,2
fence,ConnectedSequential,50462,2
fence,ConnectedSequential,50699,2
fence,ConnectedSequential,50585,2
fence,ConnectedSequential,50868,2
fence,ConnectedSequential,50887,2
